Threshold: 0.1
Enable layer loss: False
total desired batch size: 131072
Mini-batch size: 16*1024
=> calculated gradient accumulation steps: 8
=> calculated gradient accumulation steps: 8
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 11.00594711 , allloss: 11.0059, lr:1.2000e-04, norm:16.9402, dt: 3106.65ms, tok/sec: 42190.74, flops:16.74, batch-reuse:1
Layer 0 Block_loss=-7.23828125
			 ([0.0014966961462050676, 0.00016275815141852945, 0.00015530492237303406, 0.00015289713337551802, 0.00014819297939538956], ', Noise GAalcohol Y')
Layer 10 Block_loss=-8.01171875
			 ([0.0004113047616556287, 0.00022362252639140934, 0.00017689999367576092, 0.00017145732999779284, 0.0001636057422729209], ', the andirtsALK')
Layer 11 Block_loss=-8.0
			 ([0.0004049139388371259, 0.00023071299074217677, 0.0001796794676920399, 0.00017145134916063398, 0.00016360002337023616], ', the andirtsALK')
	Utilized all layers 11
@ 1 train 10.35640907 , allloss: 10.3564, lr:2.4000e-04, norm:8.8561, dt: 2779.22ms, tok/sec: 47161.37, flops:18.72, batch-reuse:1
@ 2 train 9.86367607 , allloss: 9.8637, lr:3.6000e-04, norm:4.1291, dt: 2619.09ms, tok/sec: 50044.89, flops:19.86, batch-reuse:1
@ 3 train 9.49687290 , allloss: 9.4969, lr:4.8000e-04, norm:2.4926, dt: 2619.19ms, tok/sec: 50042.91, flops:19.86, batch-reuse:1
@ 4 train 9.22335815 , allloss: 9.2234, lr:6.0000e-04, norm:2.2331, dt: 2618.32ms, tok/sec: 50059.58, flops:19.87, batch-reuse:1
@ 5 train 8.93867111 , allloss: 8.9387, lr:7.2000e-04, norm:1.7649, dt: 2615.71ms, tok/sec: 50109.47, flops:19.89, batch-reuse:1
@ 6 train 8.47056293 , allloss: 8.4706, lr:8.4000e-04, norm:1.5790, dt: 2616.43ms, tok/sec: 50095.84, flops:19.88, batch-reuse:1
@ 7 train 8.17213345 , allloss: 8.1721, lr:9.6000e-04, norm:1.2317, dt: 2616.59ms, tok/sec: 50092.70, flops:19.88, batch-reuse:1
@ 8 train 7.92010689 , allloss: 7.9201, lr:1.0800e-03, norm:1.0170, dt: 2616.26ms, tok/sec: 50098.90, flops:19.88, batch-reuse:1
@ 9 train 7.81768703 , allloss: 7.8177, lr:1.2000e-03, norm:0.9810, dt: 2615.50ms, tok/sec: 50113.60, flops:19.89, batch-reuse:1
@ 10 train 7.86115932 , allloss: 7.8612, lr:1.2000e-03, norm:1.0143, dt: 2617.15ms, tok/sec: 50081.90, flops:19.88, batch-reuse:1
@ 11 train 7.87820530 , allloss: 7.8782, lr:1.2000e-03, norm:1.1807, dt: 2617.02ms, tok/sec: 50084.43, flops:19.88, batch-reuse:1
@ 12 train 7.91199493 , allloss: 7.9120, lr:1.2000e-03, norm:1.2667, dt: 2617.84ms, tok/sec: 50068.73, flops:19.87, batch-reuse:1
@ 13 train 7.90737772 , allloss: 7.9074, lr:1.2000e-03, norm:1.1609, dt: 2618.00ms, tok/sec: 50065.76, flops:19.87, batch-reuse:1
@ 14 train 7.82303715 , allloss: 7.8230, lr:1.2000e-03, norm:0.8199, dt: 2619.19ms, tok/sec: 50042.88, flops:19.86, batch-reuse:1
@ 15 train 7.80679989 , allloss: 7.8068, lr:1.2000e-03, norm:1.2157, dt: 2618.67ms, tok/sec: 50052.95, flops:19.86, batch-reuse:1
@ 16 train 7.75358963 , allloss: 7.7536, lr:1.2000e-03, norm:1.5125, dt: 2619.27ms, tok/sec: 50041.35, flops:19.86, batch-reuse:1
@ 17 train 7.81153297 , allloss: 7.8115, lr:1.2000e-03, norm:1.6830, dt: 2619.51ms, tok/sec: 50036.86, flops:19.86, batch-reuse:1
@ 18 train 7.80906534 , allloss: 7.8091, lr:1.2000e-03, norm:0.9271, dt: 2619.90ms, tok/sec: 50029.39, flops:19.86, batch-reuse:1
@ 19 train 7.71104383 , allloss: 7.7110, lr:1.2000e-03, norm:0.8439, dt: 2620.15ms, tok/sec: 50024.66, flops:19.85, batch-reuse:1
@ 20 train 7.79970646 , allloss: 7.7997, lr:1.2000e-03, norm:0.7382, dt: 2619.17ms, tok/sec: 50043.39, flops:19.86, batch-reuse:1
@ 21 train 7.73660707 , allloss: 7.7366, lr:1.2000e-03, norm:0.4822, dt: 2620.47ms, tok/sec: 50018.46, flops:19.85, batch-reuse:1
@ 22 train 7.71350622 , allloss: 7.7135, lr:1.2000e-03, norm:0.5511, dt: 2621.72ms, tok/sec: 49994.69, flops:19.84, batch-reuse:1
@ 23 train 7.95873833 , allloss: 7.9587, lr:1.2000e-03, norm:0.7778, dt: 2621.26ms, tok/sec: 50003.37, flops:19.85, batch-reuse:1
@ 24 train 7.91208649 , allloss: 7.9121, lr:1.2000e-03, norm:1.5982, dt: 2623.33ms, tok/sec: 49964.07, flops:19.83, batch-reuse:1
@ 25 train 7.66824198 , allloss: 7.6682, lr:1.2000e-03, norm:0.7751, dt: 2621.19ms, tok/sec: 50004.68, flops:19.85, batch-reuse:1
@ 26 train 7.80074358 , allloss: 7.8007, lr:1.2000e-03, norm:0.5660, dt: 2621.49ms, tok/sec: 49998.98, flops:19.84, batch-reuse:1
@ 27 train 7.77968550 , allloss: 7.7797, lr:1.2000e-03, norm:0.5780, dt: 2620.39ms, tok/sec: 50019.94, flops:19.85, batch-reuse:1
@ 28 train 7.80100584 , allloss: 7.8010, lr:1.2000e-03, norm:0.6142, dt: 2621.03ms, tok/sec: 50007.92, flops:19.85, batch-reuse:1
@ 29 train 7.85438156 , allloss: 7.8544, lr:1.2000e-03, norm:0.5219, dt: 2623.17ms, tok/sec: 49966.93, flops:19.83, batch-reuse:1
@ 30 train 7.73277807 , allloss: 7.7328, lr:1.2000e-03, norm:0.2720, dt: 2621.82ms, tok/sec: 49992.80, flops:19.84, batch-reuse:1
@ 31 train 7.80054235 , allloss: 7.8005, lr:1.2000e-03, norm:0.4529, dt: 2622.98ms, tok/sec: 49970.67, flops:19.83, batch-reuse:1
@ 32 train 7.79477930 , allloss: 7.7948, lr:1.2000e-03, norm:0.6306, dt: 2622.88ms, tok/sec: 49972.56, flops:19.83, batch-reuse:1
@ 33 train 7.73004580 , allloss: 7.7300, lr:1.2000e-03, norm:0.4457, dt: 2624.69ms, tok/sec: 49938.12, flops:19.82, batch-reuse:1
@ 34 train 7.74317741 , allloss: 7.7432, lr:1.2000e-03, norm:0.4259, dt: 2623.49ms, tok/sec: 49961.00, flops:19.83, batch-reuse:1
@ 35 train 7.70487213 , allloss: 7.7049, lr:1.2000e-03, norm:0.5582, dt: 2623.36ms, tok/sec: 49963.42, flops:19.83, batch-reuse:1
@ 36 train 7.69136333 , allloss: 7.6914, lr:1.2000e-03, norm:0.6056, dt: 2623.67ms, tok/sec: 49957.52, flops:19.83, batch-reuse:1
@ 37 train 7.73919010 , allloss: 7.7392, lr:1.2000e-03, norm:0.4900, dt: 2624.71ms, tok/sec: 49937.71, flops:19.82, batch-reuse:1
