Threshold: 0.1
Enable layer loss: False
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 54, with 131,432,448 parameters
num non-decayed parameter tensors: 106, with 131,328 parameters
@ 0 train 10.9513 , allloss: 10.9513, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:15.8567, dt: 1606.55ms, tok/sec: 81585.89, flops:75.01, batch-reuse:1
Final sample (0 word) 
			 ([0.00164031982421875], ',')
Final sample (1 word) 
			 ([0.001983642578125], ',')
@ 1 train 10.1101 , allloss: 10.1101, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:6.8517, dt: 654.58ms, tok/sec: 200238.94, flops:184.11, batch-reuse:1
@ 2 train 9.7639 , allloss: 9.7639, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:2.8081, dt: 600.31ms, tok/sec: 218339.97, flops:200.75, batch-reuse:1
@ 3 train 9.5896 , allloss: 9.5896, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:2.2741, dt: 479.72ms, tok/sec: 273227.34, flops:251.22, batch-reuse:1
@ 4 train 9.4468 , allloss: 9.4468, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:2.0942, dt: 483.74ms, tok/sec: 270953.68, flops:249.13, batch-reuse:1
@ 5 train 9.2884 , allloss: 9.2884, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:1.8856, dt: 485.69ms, tok/sec: 269866.75, flops:248.13, batch-reuse:1
@ 6 train 8.9706 , allloss: 8.9706, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:1.8777, dt: 485.82ms, tok/sec: 269797.62, flops:248.07, batch-reuse:1
