@ 0 train 10.95628738, lr:6.0000e-05, norm:15.1403, dt: 1482.00ms, tok/sec: 88442.62, flops:67.21, batch-reuse:1
@ 1 train 10.12950039, lr:1.2000e-04, norm:6.8457, dt: 439.78ms, tok/sec: 298038.15, flops:226.49, batch-reuse:1
@ 2 train 9.77520180, lr:1.8000e-04, norm:2.8771, dt: 435.97ms, tok/sec: 300645.15, flops:228.47, batch-reuse:1
@ 3 train 9.59222412, lr:2.4000e-04, norm:2.2806, dt: 435.65ms, tok/sec: 300863.32, flops:228.64, batch-reuse:1
@ 4 train 9.44573593, lr:3.0000e-04, norm:2.1333, dt: 435.36ms, tok/sec: 301068.12, flops:228.80, batch-reuse:1
@ 5 train 9.29110241, lr:3.6000e-04, norm:1.9243, dt: 437.86ms, tok/sec: 299349.75, flops:227.49, batch-reuse:1
@ 6 train 8.97829723, lr:4.2000e-04, norm:1.9260, dt: 438.14ms, tok/sec: 299156.72, flops:227.34, batch-reuse:1
@ 7 train 8.72099781, lr:4.8000e-04, norm:1.6297, dt: 436.88ms, tok/sec: 300020.85, flops:228.00, batch-reuse:1
@ 8 train 8.44479370, lr:5.4000e-04, norm:1.4412, dt: 434.76ms, tok/sec: 301483.53, flops:229.11, batch-reuse:1
@ 9 train 8.21151066, lr:6.0000e-04, norm:1.8406, dt: 435.83ms, tok/sec: 300740.54, flops:228.55, batch-reuse:1
@ 10 train 8.05176640, lr:6.0000e-04, norm:1.4538, dt: 434.78ms, tok/sec: 301467.49, flops:229.10, batch-reuse:1
@ 11 train 7.89327097, lr:6.0000e-04, norm:1.0220, dt: 434.88ms, tok/sec: 301399.40, flops:229.05, batch-reuse:1
@ 12 train 7.78772879, lr:6.0000e-04, norm:0.9594, dt: 435.58ms, tok/sec: 300911.90, flops:228.68, batch-reuse:1
@ 13 train 7.73724651, lr:6.0000e-04, norm:1.0158, dt: 435.60ms, tok/sec: 300897.24, flops:228.67, batch-reuse:1
@ 14 train 7.68983507, lr:6.0000e-04, norm:0.7415, dt: 434.65ms, tok/sec: 301555.79, flops:229.17, batch-reuse:1
@ 15 train 7.67039680, lr:6.0000e-04, norm:0.8783, dt: 435.28ms, tok/sec: 301117.76, flops:228.83, batch-reuse:1
@ 16 train 7.63913536, lr:6.0000e-04, norm:0.6565, dt: 437.47ms, tok/sec: 299612.25, flops:227.69, batch-reuse:1
@ 17 train 7.69731522, lr:6.0000e-04, norm:1.2089, dt: 437.92ms, tok/sec: 299303.63, flops:227.46, batch-reuse:1
@ 18 train 7.67817354, lr:6.0000e-04, norm:0.8989, dt: 438.45ms, tok/sec: 298941.83, flops:227.18, batch-reuse:1
@ 19 train 7.52715540, lr:6.0000e-04, norm:0.8096, dt: 436.03ms, tok/sec: 300604.38, flops:228.44, batch-reuse:1
@ 20 train 7.69602156, lr:6.0000e-04, norm:1.5522, dt: 437.08ms, tok/sec: 299878.80, flops:227.89, batch-reuse:1
@ 21 train 7.60778904, lr:6.0000e-04, norm:0.9661, dt: 442.48ms, tok/sec: 296221.40, flops:225.11, batch-reuse:1
@ 22 train 7.56610584, lr:6.0000e-04, norm:0.7565, dt: 438.76ms, tok/sec: 298729.52, flops:227.02, batch-reuse:1
@ 23 train 7.77060556, lr:6.0000e-04, norm:0.6478, dt: 439.92ms, tok/sec: 297942.86, flops:226.42, batch-reuse:1
@ 24 train 7.71689558, lr:6.0000e-04, norm:0.6813, dt: 439.27ms, tok/sec: 298384.33, flops:226.76, batch-reuse:1
@ 25 train 7.45279646, lr:6.0000e-04, norm:0.8541, dt: 438.38ms, tok/sec: 298989.63, flops:227.22, batch-reuse:1
@ 26 train 7.56381607, lr:6.0000e-04, norm:0.7954, dt: 438.16ms, tok/sec: 299141.25, flops:227.33, batch-reuse:1
@ 27 train 7.52903080, lr:6.0000e-04, norm:0.8617, dt: 439.07ms, tok/sec: 298519.62, flops:226.86, batch-reuse:1
@ 28 train 7.53209448, lr:6.0000e-04, norm:0.5692, dt: 441.98ms, tok/sec: 296558.56, flops:225.37, batch-reuse:1
@ 29 train 7.58798218, lr:6.0000e-04, norm:0.7281, dt: 441.09ms, tok/sec: 297154.38, flops:225.82, batch-reuse:1
@ 30 train 7.44738388, lr:6.0000e-04, norm:0.6474, dt: 440.34ms, tok/sec: 297659.58, flops:226.21, batch-reuse:1
@ 31 train 7.49299431, lr:6.0000e-04, norm:0.5397, dt: 440.28ms, tok/sec: 297703.91, flops:226.24, batch-reuse:1
@ 32 train 7.46671534, lr:6.0000e-04, norm:0.5430, dt: 438.42ms, tok/sec: 298966.21, flops:227.20, batch-reuse:1
@ 33 train 7.39073086, lr:6.0000e-04, norm:0.5244, dt: 438.91ms, tok/sec: 298633.29, flops:226.95, batch-reuse:1
@ 34 train 7.39507961, lr:6.0000e-04, norm:0.5989, dt: 441.68ms, tok/sec: 296758.34, flops:225.52, batch-reuse:1
@ 35 train 7.35270166, lr:6.0000e-04, norm:0.5218, dt: 439.08ms, tok/sec: 298513.29, flops:226.85, batch-reuse:1
@ 36 train 7.30011082, lr:6.0000e-04, norm:0.5119, dt: 438.45ms, tok/sec: 298943.62, flops:227.18, batch-reuse:1
@ 37 train 7.33702564, lr:6.0000e-04, norm:0.5944, dt: 439.01ms, tok/sec: 298563.23, flops:226.89, batch-reuse:1
@ 38 train 7.28353071, lr:6.0000e-04, norm:0.5827, dt: 438.54ms, tok/sec: 298882.18, flops:227.13, batch-reuse:1
@ 39 train 7.31162357, lr:6.0000e-04, norm:0.4616, dt: 439.45ms, tok/sec: 298266.47, flops:226.67, batch-reuse:1
@ 40 train 7.31938314, lr:6.0000e-04, norm:0.4331, dt: 438.46ms, tok/sec: 298938.41, flops:227.18, batch-reuse:1
@ 41 train 7.27175999, lr:6.0000e-04, norm:0.4355, dt: 438.60ms, tok/sec: 298843.68, flops:227.11, batch-reuse:1
@ 42 train 7.23643017, lr:6.0000e-04, norm:0.4296, dt: 437.30ms, tok/sec: 299731.66, flops:227.78, batch-reuse:1
@ 43 train 7.22887468, lr:6.0000e-04, norm:0.3711, dt: 437.79ms, tok/sec: 299397.68, flops:227.53, batch-reuse:1
@ 44 train 7.24574757, lr:6.0000e-04, norm:0.4387, dt: 439.40ms, tok/sec: 298297.22, flops:226.69, batch-reuse:1
@ 45 train 7.15640974, lr:6.0000e-04, norm:0.5030, dt: 437.88ms, tok/sec: 299330.84, flops:227.48, batch-reuse:1
@ 46 train 7.17599583, lr:6.0000e-04, norm:0.4889, dt: 439.70ms, tok/sec: 298096.33, flops:226.54, batch-reuse:1
@ 47 train 7.11319447, lr:6.0000e-04, norm:0.3797, dt: 439.59ms, tok/sec: 298165.85, flops:226.59, batch-reuse:1
@ 48 train 7.10594273, lr:6.0000e-04, norm:0.5324, dt: 441.04ms, tok/sec: 297186.35, flops:225.85, batch-reuse:1
@ 49 train 7.11762953, lr:6.0000e-04, norm:0.6360, dt: 440.12ms, tok/sec: 297811.80, flops:226.32, batch-reuse:1
@ 50 val 7.1092
50 hellaswag 0.2462
