Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 7-debug-2
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, but computing loss every layer, multiplication at MLP layer
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 10.8905 , allloss: 130.4251, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:119.3318, dt: 5155.07ms, tok/sec: 25425.82, flops:10.09, batch-reuse:1
Final sample (0 word) 
			 ([9.775161743164062e-05], ' seize')
Final sample (1 word) 
			 ([9.584426879882812e-05], ' agenda')
@ 1 train 10.8838 , allloss: 130.3975, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:114.0963, dt: 1797.89ms, tok/sec: 72903.30, flops:28.93, batch-reuse:1
@ 2 train 10.8817 , allloss: 130.3244, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:96.4309, dt: 1605.79ms, tok/sec: 81624.67, flops:32.39, batch-reuse:1
@ 3 train 10.8615 , allloss: 130.1666, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:84.4549, dt: 1606.56ms, tok/sec: 81585.48, flops:32.38, batch-reuse:1
@ 4 train 10.8330 , allloss: 129.3635, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:101.7671, dt: 1606.08ms, tok/sec: 81609.90, flops:32.39, batch-reuse:1
@ 5 train 10.4017 , allloss: 125.4504, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:152.6318, dt: 1606.97ms, tok/sec: 81564.78, flops:32.37, batch-reuse:1
@ 6 train 10.1081 , allloss: 121.9733, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:106.1178, dt: 1605.56ms, tok/sec: 81636.31, flops:32.40, batch-reuse:1
@ 7 train 9.9165 , allloss: 119.2839, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.8000e-04, norm:148.6924, dt: 1608.03ms, tok/sec: 81511.14, flops:32.35, batch-reuse:1
@ 8 train 9.8187 , allloss: 117.4796, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:5.4000e-04, norm:171.4917, dt: 1607.60ms, tok/sec: 81532.94, flops:32.36, batch-reuse:1
@ 9 train 9.5073 , allloss: 113.6383, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:132.5915, dt: 1610.93ms, tok/sec: 81363.93, flops:32.29, batch-reuse:1
@ 10 train 9.5045 , allloss: 112.2102, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:304.1779, dt: 1608.93ms, tok/sec: 81465.45, flops:32.33, batch-reuse:1
@ 11 train 9.2671 , allloss: 110.1793, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:137.5523, dt: 1608.14ms, tok/sec: 81505.37, flops:32.35, batch-reuse:1
@ 12 train 8.8751 , allloss: 106.0809, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:77.1813, dt: 1611.13ms, tok/sec: 81353.88, flops:32.29, batch-reuse:1
@ 13 train 8.5224 , allloss: 102.2851, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:52.0927, dt: 1612.92ms, tok/sec: 81263.62, flops:32.25, batch-reuse:1
