Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 7-debug
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, multiplication, computing loss last layer
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 10.8929 , allloss: 10.8929, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:87.6835, dt: 1602.92ms, tok/sec: 81770.57, flops:32.45, batch-reuse:1
Final sample (0 word) 
			 ([0.00010061264038085938], 'historic')
Final sample (1 word) 
			 ([0.00010061264038085938], 'historic')
@ 1 train 10.8972 , allloss: 10.8972, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:84.0754, dt: 681.78ms, tok/sec: 192251.08, flops:76.30, batch-reuse:1
@ 2 train 10.9009 , allloss: 10.9009, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:73.4926, dt: 461.18ms, tok/sec: 284211.41, flops:112.80, batch-reuse:1
@ 3 train 10.8997 , allloss: 10.8997, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:54.4624, dt: 457.50ms, tok/sec: 286494.69, flops:113.70, batch-reuse:1
@ 4 train 10.9241 , allloss: 10.9241, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:34.3251, dt: 451.14ms, tok/sec: 290532.53, flops:115.31, batch-reuse:1
@ 5 train 10.9110 , allloss: 10.9110, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:82.8055, dt: 453.02ms, tok/sec: 289328.41, flops:114.83, batch-reuse:1
@ 6 train 10.8970 , allloss: 10.8970, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:71.4274, dt: 453.85ms, tok/sec: 288801.46, flops:114.62, batch-reuse:1
@ 7 train 10.8428 , allloss: 10.8428, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.8000e-04, norm:16.8599, dt: 454.59ms, tok/sec: 288333.27, flops:114.43, batch-reuse:1
@ 8 train 10.7997 , allloss: 10.7997, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:5.4000e-04, norm:20.4595, dt: 453.46ms, tok/sec: 289051.25, flops:114.72, batch-reuse:1
@ 9 train 10.7224 , allloss: 10.7224, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:15.2047, dt: 452.81ms, tok/sec: 289463.69, flops:114.88, batch-reuse:1
@ 10 train 10.5881 , allloss: 10.5881, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:22.5055, dt: 454.19ms, tok/sec: 288581.64, flops:114.53, batch-reuse:1
@ 11 train 10.3982 , allloss: 10.3982, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:17.9780, dt: 453.69ms, tok/sec: 288904.51, flops:114.66, batch-reuse:1
@ 12 train 10.3688 , allloss: 10.3688, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:30.9278, dt: 450.25ms, tok/sec: 291107.90, flops:115.53, batch-reuse:1
@ 13 train 10.1547 , allloss: 10.1547, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:21.5985, dt: 452.16ms, tok/sec: 289881.14, flops:115.05, batch-reuse:1
@ 14 train 9.9993 , allloss: 9.9993, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:18.6861, dt: 452.34ms, tok/sec: 289762.58, flops:115.00, batch-reuse:1
@ 15 train 9.8327 , allloss: 9.8327, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:19.0376, dt: 451.75ms, tok/sec: 290140.76, flops:115.15, batch-reuse:1
@ 16 train 10.5118 , allloss: 10.5118, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:102.0116, dt: 452.57ms, tok/sec: 289614.35, flops:114.94, batch-reuse:1
@ 17 train 9.6763 , allloss: 9.6763, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:16.1027, dt: 451.85ms, tok/sec: 290079.83, flops:115.13, batch-reuse:1
@ 18 train 9.4557 , allloss: 9.4557, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:14.4041, dt: 452.44ms, tok/sec: 289698.60, flops:114.97, batch-reuse:1
@ 19 train 9.1560 , allloss: 9.1560, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.5704, dt: 452.03ms, tok/sec: 289960.95, flops:115.08, batch-reuse:1
@ 20 train 10.5446 , allloss: 10.5446, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:53.1096, dt: 452.11ms, tok/sec: 289912.94, flops:115.06, batch-reuse:1
@ 21 train 8.9692 , allloss: 8.9692, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:11.4416, dt: 458.34ms, tok/sec: 285968.63, flops:113.49, batch-reuse:1
@ 22 train 8.7076 , allloss: 8.7076, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.5191, dt: 458.25ms, tok/sec: 286024.42, flops:113.52, batch-reuse:1
@ 23 train 8.7011 , allloss: 8.7011, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:14.3089, dt: 456.01ms, tok/sec: 287431.33, flops:114.07, batch-reuse:1
@ 24 train 8.5347 , allloss: 8.5347, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.8306, dt: 456.13ms, tok/sec: 287357.86, flops:114.05, batch-reuse:1
@ 25 train 8.1780 , allloss: 8.1780, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.2100, dt: 454.22ms, tok/sec: 288564.22, flops:114.52, batch-reuse:1
@ 26 train 8.0879 , allloss: 8.0879, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:2.3328, dt: 455.88ms, tok/sec: 287516.56, flops:114.11, batch-reuse:1
@ 27 train 7.9403 , allloss: 7.9403, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:1.6003, dt: 455.72ms, tok/sec: 287614.18, flops:114.15, batch-reuse:1
@ 28 train 7.8756 , allloss: 7.8756, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:1.3002, dt: 455.33ms, tok/sec: 287858.90, flops:114.24, batch-reuse:1
@ 29 train 7.8834 , allloss: 7.8834, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:1.4472, dt: 455.33ms, tok/sec: 287863.28, flops:114.25, batch-reuse:1
@ 30 train 7.7961 , allloss: 7.7961, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.6099, dt: 456.51ms, tok/sec: 287119.24, flops:113.95, batch-reuse:1
@ 31 train 7.8033 , allloss: 7.8033, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:1.4835, dt: 458.05ms, tok/sec: 286152.75, flops:113.57, batch-reuse:1
@ 32 train 7.7802 , allloss: 7.7802, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.8917, dt: 458.29ms, tok/sec: 286003.89, flops:113.51, batch-reuse:1
@ 33 train 7.7143 , allloss: 7.7143, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5551, dt: 457.33ms, tok/sec: 286602.23, flops:113.75, batch-reuse:1
@ 34 train 7.7307 , allloss: 7.7307, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.6967, dt: 454.03ms, tok/sec: 288686.96, flops:114.57, batch-reuse:1
