Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-everylayer-nores
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, but computing loss every layer, multiplication only on MLP, no-res on attn
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 10.8892 , allloss: 130.4242, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:129.4924, dt: 7650.44ms, tok/sec: 17132.60, flops:6.80, batch-reuse:1
Final sample (0 word) 
			 ([0.00010967254638671875], 'avia')
Final sample (1 word) 
			 ([0.00010967254638671875], 'avia')
@ 1 train 10.8857 , allloss: 130.3910, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:127.0985, dt: 2079.49ms, tok/sec: 63030.84, flops:25.02, batch-reuse:1
@ 2 train 10.8788 , allloss: 130.2971, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:106.0780, dt: 1594.80ms, tok/sec: 82187.35, flops:32.62, batch-reuse:1
@ 3 train 10.8663 , allloss: 130.1074, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:90.8632, dt: 1593.61ms, tok/sec: 82248.56, flops:32.64, batch-reuse:1
@ 4 train 10.8319 , allloss: 129.5144, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:115.8664, dt: 1594.30ms, tok/sec: 82212.81, flops:32.63, batch-reuse:1
@ 5 train 10.5230 , allloss: 126.1692, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:290.8889, dt: 1596.41ms, tok/sec: 82104.37, flops:32.59, batch-reuse:1
@ 6 train 10.0844 , allloss: 121.7799, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:89.5468, dt: 1597.31ms, tok/sec: 82058.04, flops:32.57, batch-reuse:1
@ 7 train 9.7567 , allloss: 117.6353, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.8000e-04, norm:78.0416, dt: 1595.58ms, tok/sec: 82146.68, flops:32.60, batch-reuse:1
