Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-everylayer-nores-true
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, but computing loss every layer, no res anywhere
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 10.9875 , allloss: 131.6627, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:209.2701, dt: 5191.15ms, tok/sec: 25249.13, flops:10.02, batch-reuse:1
Final sample (0 word) 
			 ([0.0002002716064453125], ' the')
Final sample (1 word) 
			 ([0.0002002716064453125], ' the')
@ 1 train 10.5634 , allloss: 127.1929, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:272.0466, dt: 1786.88ms, tok/sec: 73352.26, flops:29.11, batch-reuse:1
@ 2 train 10.0916 , allloss: 121.3686, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:95.2006, dt: 1591.74ms, tok/sec: 82345.21, flops:32.68, batch-reuse:1
@ 3 train 9.6981 , allloss: 116.4696, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:44.9430, dt: 1592.24ms, tok/sec: 82319.37, flops:32.67, batch-reuse:1
@ 4 train 9.5000 , allloss: 114.0120, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:30.3497, dt: 1587.24ms, tok/sec: 82578.81, flops:32.77, batch-reuse:1
@ 5 train 9.3705 , allloss: 112.4523, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:24.0880, dt: 1589.70ms, tok/sec: 82450.57, flops:32.72, batch-reuse:1
@ 6 train 9.0731 , allloss: 108.8781, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:24.3661, dt: 1590.29ms, tok/sec: 82420.27, flops:32.71, batch-reuse:1
@ 7 train 8.8387 , allloss: 106.0675, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.8000e-04, norm:21.5349, dt: 1590.37ms, tok/sec: 82416.19, flops:32.71, batch-reuse:1
@ 8 train 8.5764 , allloss: 102.9134, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:5.4000e-04, norm:18.9111, dt: 1589.21ms, tok/sec: 82476.01, flops:32.73, batch-reuse:1
@ 9 train 8.3152 , allloss: 99.7829, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:16.4645, dt: 1590.37ms, tok/sec: 82416.19, flops:32.71, batch-reuse:1
@ 10 train 8.1205 , allloss: 97.4469, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:12.6489, dt: 1590.65ms, tok/sec: 82401.47, flops:32.70, batch-reuse:1
@ 11 train 7.9673 , allloss: 95.6058, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.8109, dt: 1591.25ms, tok/sec: 82370.71, flops:32.69, batch-reuse:1
@ 12 train 7.8316 , allloss: 93.9782, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.9130, dt: 1589.76ms, tok/sec: 82447.67, flops:32.72, batch-reuse:1
@ 13 train 7.7927 , allloss: 93.5143, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.7073, dt: 1590.84ms, tok/sec: 82391.84, flops:32.70, batch-reuse:1
@ 14 train 7.7462 , allloss: 92.9505, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.5581, dt: 1590.38ms, tok/sec: 82415.62, flops:32.71, batch-reuse:1
@ 15 train 7.7250 , allloss: 92.6983, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.5269, dt: 1592.74ms, tok/sec: 82293.55, flops:32.66, batch-reuse:1
@ 16 train 7.7078 , allloss: 92.4939, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.9419, dt: 1587.75ms, tok/sec: 82552.12, flops:32.76, batch-reuse:1
@ 17 train 7.7675 , allloss: 93.2069, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:9.0231, dt: 1588.45ms, tok/sec: 82515.91, flops:32.75, batch-reuse:1
@ 18 train 7.7688 , allloss: 93.2274, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.7376, dt: 1587.77ms, tok/sec: 82550.78, flops:32.76, batch-reuse:1
@ 19 train 7.6576 , allloss: 91.8819, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.7156, dt: 1590.44ms, tok/sec: 82412.50, flops:32.71, batch-reuse:1
@ 20 train 7.7600 , allloss: 93.1226, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.0017, dt: 1589.68ms, tok/sec: 82451.57, flops:32.72, batch-reuse:1
@ 21 train 7.7146 , allloss: 92.5671, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.5957, dt: 1591.62ms, tok/sec: 82351.50, flops:32.68, batch-reuse:1
@ 22 train 7.6861 , allloss: 92.2363, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.7059, dt: 1590.01ms, tok/sec: 82434.61, flops:32.72, batch-reuse:1
@ 23 train 7.8989 , allloss: 94.7866, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.9993, dt: 1589.93ms, tok/sec: 82438.77, flops:32.72, batch-reuse:1
@ 24 train 7.8623 , allloss: 94.3408, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.9062, dt: 1594.36ms, tok/sec: 82209.87, flops:32.63, batch-reuse:1
@ 25 train 7.6395 , allloss: 91.6764, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:8.6038, dt: 1598.71ms, tok/sec: 81985.93, flops:32.54, batch-reuse:1
@ 26 train 7.7620 , allloss: 93.1470, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.5847, dt: 1593.38ms, tok/sec: 82260.37, flops:32.65, batch-reuse:1
@ 27 train 7.7402 , allloss: 92.8812, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.3425, dt: 1595.18ms, tok/sec: 82167.72, flops:32.61, batch-reuse:1
@ 28 train 7.7702 , allloss: 93.2333, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.2004, dt: 1595.14ms, tok/sec: 82169.71, flops:32.61, batch-reuse:1
@ 29 train 7.8233 , allloss: 93.8780, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.8948, dt: 1593.70ms, tok/sec: 82243.69, flops:32.64, batch-reuse:1
@ 30 train 7.7182 , allloss: 92.6158, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.8996, dt: 1596.23ms, tok/sec: 82113.43, flops:32.59, batch-reuse:1
@ 31 train 7.7750 , allloss: 93.3003, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.8208, dt: 1595.57ms, tok/sec: 82147.44, flops:32.60, batch-reuse:1
@ 32 train 7.7678 , allloss: 93.2137, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.2871, dt: 1594.79ms, tok/sec: 82187.38, flops:32.62, batch-reuse:1
@ 33 train 7.7102 , allloss: 92.5162, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.0354, dt: 1597.80ms, tok/sec: 82032.79, flops:32.56, batch-reuse:1
@ 34 train 7.7343 , allloss: 92.8069, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.5503, dt: 1596.28ms, tok/sec: 82110.69, flops:32.59, batch-reuse:1
@ 35 train 7.6963 , allloss: 92.3526, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.8818, dt: 1597.57ms, tok/sec: 82044.38, flops:32.56, batch-reuse:1
@ 36 train 7.6874 , allloss: 92.2407, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.5696, dt: 1599.62ms, tok/sec: 81939.30, flops:32.52, batch-reuse:1
@ 37 train 7.7300 , allloss: 92.7555, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.5101, dt: 1603.25ms, tok/sec: 81754.15, flops:32.45, batch-reuse:1
@ 38 train 7.6608 , allloss: 91.9229, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.6673, dt: 1601.38ms, tok/sec: 81849.23, flops:32.48, batch-reuse:1
@ 39 train 7.7312 , allloss: 92.7629, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:6.8470, dt: 1600.56ms, tok/sec: 81891.49, flops:32.50, batch-reuse:1
@ 40 train 7.7593 , allloss: 93.0966, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:7.2480, dt: 1600.58ms, tok/sec: 81890.36, flops:32.50, batch-reuse:1
@ 41 train 7.7208 , allloss: 92.6389, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.3392, dt: 1600.65ms, tok/sec: 81886.96, flops:32.50, batch-reuse:1
@ 42 train 7.7034 , allloss: 92.4286, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.1914, dt: 1600.93ms, tok/sec: 81872.53, flops:32.49, batch-reuse:1
@ 43 train 7.7276 , allloss: 92.7148, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:3.4472, dt: 1600.66ms, tok/sec: 81886.00, flops:32.50, batch-reuse:1
@ 44 train 7.7440 , allloss: 92.9031, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.1666, dt: 1600.81ms, tok/sec: 81878.40, flops:32.50, batch-reuse:1
@ 45 train 7.6628 , allloss: 91.9263, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.1017, dt: 1600.70ms, tok/sec: 81884.28, flops:32.50, batch-reuse:1
@ 46 train 7.7102 , allloss: 92.4953, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.2109, dt: 1601.30ms, tok/sec: 81853.55, flops:32.49, batch-reuse:1
@ 47 train 7.6496 , allloss: 91.7698, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:3.8727, dt: 1600.96ms, tok/sec: 81871.08, flops:32.49, batch-reuse:1
@ 48 train 7.6638 , allloss: 91.9297, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:3.9806, dt: 1601.60ms, tok/sec: 81838.35, flops:32.48, batch-reuse:1
@ 49 train 7.6824 , allloss: 92.1363, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:3.2615, dt: 1600.37ms, tok/sec: 81900.95, flops:32.50, batch-reuse:1
Final sample (0 word) 
			 ([0.04150390625], '.')
Final sample (1 word) 
			 ([0.04150390625], '.')
@ 50 train 7.7984 , allloss: 93.5234, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.4201, dt: 1703.85ms, tok/sec: 76926.81, flops:30.53, batch-reuse:1
@ 51 train 7.8617 , allloss: 94.2729, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.2414, dt: 1599.99ms, tok/sec: 81920.52, flops:32.51, batch-reuse:1
@ 52 train 7.7094 , allloss: 92.4457, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.9455, dt: 1601.93ms, tok/sec: 81821.14, flops:32.47, batch-reuse:1
@ 53 train 7.6857 , allloss: 92.1581, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.4165, dt: 1603.41ms, tok/sec: 81745.67, flops:32.44, batch-reuse:1
@ 54 train 7.7817 , allloss: 93.2854, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.5613, dt: 1601.40ms, tok/sec: 81848.53, flops:32.48, batch-reuse:1
@ 55 train 7.8350 , allloss: 93.9265, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:5.7886, dt: 1602.04ms, tok/sec: 81815.50, flops:32.47, batch-reuse:1
@ 56 train 7.6901 , allloss: 92.1936, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:4.1919, dt: 1603.96ms, tok/sec: 81717.94, flops:32.43, batch-reuse:1
