Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-experiment
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, computing loss last layer, res * attn(x), x * mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:0.0468, dt: 1595.53ms, tok/sec: 82149.58, flops:32.60, batch-reuse:1
Final sample (0 word) 
			 ([1.990795135498047e-05], '!')
Final sample (1 word) 
			 ([1.990795135498047e-05], '!')
@ 1 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:0.0480, dt: 652.27ms, tok/sec: 200948.24, flops:79.75, batch-reuse:1
@ 2 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:0.0483, dt: 457.03ms, tok/sec: 286788.07, flops:113.82, batch-reuse:1
@ 3 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:0.0502, dt: 456.68ms, tok/sec: 287010.41, flops:113.91, batch-reuse:1
@ 4 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:0.0530, dt: 458.70ms, tok/sec: 285747.01, flops:113.41, batch-reuse:1
@ 5 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:0.0564, dt: 460.32ms, tok/sec: 284741.20, flops:113.01, batch-reuse:1
@ 6 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:0.0665, dt: 459.50ms, tok/sec: 285250.47, flops:113.21, batch-reuse:1
@ 7 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.8000e-04, norm:0.0749, dt: 458.54ms, tok/sec: 285843.58, flops:113.44, batch-reuse:1
@ 8 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:5.4000e-04, norm:0.0864, dt: 460.24ms, tok/sec: 284788.25, flops:113.03, batch-reuse:1
@ 9 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.1007, dt: 461.18ms, tok/sec: 284209.35, flops:112.80, batch-reuse:1
@ 10 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.1159, dt: 459.21ms, tok/sec: 285426.26, flops:113.28, batch-reuse:1
@ 11 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.1323, dt: 456.84ms, tok/sec: 286910.80, flops:113.87, batch-reuse:1
@ 12 train 10.8125 , allloss: 10.8125, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.1506, dt: 456.61ms, tok/sec: 287052.67, flops:113.92, batch-reuse:1
@ 13 train 10.8049 , allloss: 10.8049, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.1682, dt: 455.65ms, tok/sec: 287658.73, flops:114.16, batch-reuse:1
@ 14 train 10.8007 , allloss: 10.8007, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.1880, dt: 457.00ms, tok/sec: 286810.07, flops:113.83, batch-reuse:1
@ 15 train 10.7957 , allloss: 10.7957, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.2070, dt: 458.79ms, tok/sec: 285692.21, flops:113.38, batch-reuse:1
@ 16 train 10.7824 , allloss: 10.7824, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.2274, dt: 458.02ms, tok/sec: 286170.18, flops:113.57, batch-reuse:1
@ 17 train 10.7705 , allloss: 10.7705, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.2456, dt: 458.72ms, tok/sec: 285736.46, flops:113.40, batch-reuse:1
@ 18 train 10.7616 , allloss: 10.7616, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.2642, dt: 458.06ms, tok/sec: 286142.92, flops:113.56, batch-reuse:1
@ 19 train 10.7544 , allloss: 10.7544, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.2906, dt: 461.61ms, tok/sec: 283947.18, flops:112.69, batch-reuse:1
@ 20 train 10.7500 , allloss: 10.7500, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.3037, dt: 457.40ms, tok/sec: 286555.77, flops:113.73, batch-reuse:1
@ 21 train 10.7427 , allloss: 10.7427, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.3262, dt: 461.95ms, tok/sec: 283734.69, flops:112.61, batch-reuse:1
@ 22 train 10.7225 , allloss: 10.7225, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.3473, dt: 463.21ms, tok/sec: 282963.74, flops:112.30, batch-reuse:1
@ 23 train 10.7144 , allloss: 10.7144, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.3530, dt: 459.24ms, tok/sec: 285410.56, flops:113.27, batch-reuse:1
@ 24 train 10.7057 , allloss: 10.7057, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.3752, dt: 462.21ms, tok/sec: 283576.91, flops:112.54, batch-reuse:1
@ 25 train 10.6918 , allloss: 10.6918, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.4123, dt: 461.59ms, tok/sec: 283960.23, flops:112.70, batch-reuse:1
@ 26 train 10.6732 , allloss: 10.6732, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.4228, dt: 461.63ms, tok/sec: 283932.07, flops:112.69, batch-reuse:1
@ 27 train 10.6591 , allloss: 10.6591, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.4452, dt: 456.40ms, tok/sec: 287184.18, flops:113.98, batch-reuse:1
@ 28 train 10.6452 , allloss: 10.6452, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.4640, dt: 456.76ms, tok/sec: 286958.28, flops:113.89, batch-reuse:1
@ 29 train 10.6276 , allloss: 10.6276, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.4804, dt: 461.86ms, tok/sec: 283793.71, flops:112.63, batch-reuse:1
@ 30 train 10.6079 , allloss: 10.6079, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5116, dt: 461.46ms, tok/sec: 284034.61, flops:112.73, batch-reuse:1
@ 31 train 10.5913 , allloss: 10.5913, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5254, dt: 459.45ms, tok/sec: 285277.85, flops:113.22, batch-reuse:1
@ 32 train 10.5712 , allloss: 10.5712, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5469, dt: 460.66ms, tok/sec: 284528.69, flops:112.92, batch-reuse:1
@ 33 train 10.5481 , allloss: 10.5481, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5749, dt: 460.22ms, tok/sec: 284800.79, flops:113.03, batch-reuse:1
@ 34 train 10.5284 , allloss: 10.5284, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.5926, dt: 458.36ms, tok/sec: 285956.43, flops:113.49, batch-reuse:1
@ 35 train 10.5028 , allloss: 10.5028, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:0.6181, dt: 457.80ms, tok/sec: 286308.79, flops:113.63, batch-reuse:1
