Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-noresattnresmlp-alllayer
Experiment description:  Reusing blocks, max LR 6e-4, computing loss every layer, attn(x), x + mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 11.0038 , allloss: 131.7701, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:152.3658, dt: 5163.76ms, tok/sec: 25383.06, flops:10.07, batch-reuse:1
Final sample (0 word) 
			 ([0.00034332275390625], ' the')
Final sample (1 word) 
			 ([0.00034332275390625], ' the')
@ 1 train 10.5594 , allloss: 127.4364, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:184.0193, dt: 1801.75ms, tok/sec: 72747.22, flops:28.87, batch-reuse:1
@ 2 train 10.0982 , allloss: 121.4677, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:93.4492, dt: 1587.23ms, tok/sec: 82579.05, flops:32.77, batch-reuse:1
@ 3 train 9.7317 , allloss: 116.8360, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:55.2228, dt: 1589.46ms, tok/sec: 82463.08, flops:32.73, batch-reuse:1
@ 4 train 9.5119 , allloss: 114.1853, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:30.2085, dt: 1588.67ms, tok/sec: 82504.06, flops:32.74, batch-reuse:1
@ 5 train 9.3768 , allloss: 112.5653, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:25.2811, dt: 1591.04ms, tok/sec: 82381.49, flops:32.70, batch-reuse:1
@ 6 train 9.0629 , allloss: 108.7938, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:24.1275, dt: 1591.43ms, tok/sec: 82360.95, flops:32.69, batch-reuse:1
