Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-plus-times
Experiment description: Vanilla GPT (reusing blocks), max LR 6e-4, but computing loss every layer, res + attn, res * mlp
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 10.8869 , allloss: 130.4083, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:124.1894, dt: 5222.09ms, tok/sec: 25099.51, flops:9.96, batch-reuse:1
Final sample (0 word) 
			 ([0.00010538101196289062], ' compulsion')
Final sample (1 word) 
			 ([0.0001049041748046875], ' compulsion')
@ 1 train 10.8862 , allloss: 130.3572, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:121.0272, dt: 1818.76ms, tok/sec: 72066.79, flops:28.60, batch-reuse:1
@ 2 train 10.8760 , allloss: 130.3129, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:104.0674, dt: 1617.86ms, tok/sec: 81015.47, flops:32.15, batch-reuse:1
@ 3 train 10.8616 , allloss: 130.1356, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:82.5106, dt: 1619.91ms, tok/sec: 80913.04, flops:32.11, batch-reuse:1
@ 4 train 10.8345 , allloss: 129.7419, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:81.9089, dt: 1616.47ms, tok/sec: 81085.23, flops:32.18, batch-reuse:1
@ 5 train 10.5650 , allloss: 127.1233, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:182.9351, dt: 1617.72ms, tok/sec: 81022.64, flops:32.16, batch-reuse:1
@ 6 train 10.1453 , allloss: 122.5015, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:112.3972, dt: 1621.82ms, tok/sec: 80818.00, flops:32.07, batch-reuse:1
@ 7 train 9.8716 , allloss: 118.9640, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.8000e-04, norm:147.5443, dt: 1622.13ms, tok/sec: 80802.58, flops:32.07, batch-reuse:1
@ 8 train 9.6716 , allloss: 116.2909, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:5.4000e-04, norm:150.4354, dt: 1624.44ms, tok/sec: 80687.63, flops:32.02, batch-reuse:1
@ 9 train 9.5017 , allloss: 113.7090, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:186.7581, dt: 1624.07ms, tok/sec: 80705.65, flops:32.03, batch-reuse:1
@ 10 train 9.3814 , allloss: 111.6497, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:194.7068, dt: 1623.48ms, tok/sec: 80735.16, flops:32.04, batch-reuse:1
@ 11 train 9.0023 , allloss: 107.7662, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:85.4593, dt: 1624.34ms, tok/sec: 80692.43, flops:32.02, batch-reuse:1
@ 12 train 8.6198 , allloss: 103.5116, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-04, norm:56.5997, dt: 1622.33ms, tok/sec: 80792.44, flops:32.06, batch-reuse:1
