Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-reswithln-alllayer
Experiment description:  Reusing blocks, max LR 6e-4, computing loss every layer, x + attn(x), x + mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 11.0223 , allloss: 135.4771, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:25.6754, dt: 5181.44ms, tok/sec: 25296.43, flops:10.04, batch-reuse:1
Final sample (0 word) 
			 ([0.0311279296875], ',')
Final sample (1 word) 
			 ([0.0361328125], ',')
@ 1 train 10.6871 , allloss: 133.0442, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:31.1686, dt: 1835.52ms, tok/sec: 71408.70, flops:28.34, batch-reuse:1
@ 2 train 10.1073 , allloss: 127.9424, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:32.9184, dt: 1619.65ms, tok/sec: 80926.24, flops:32.12, batch-reuse:1
@ 3 train 9.7427 , allloss: 122.2821, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:27.4364, dt: 1616.56ms, tok/sec: 81080.69, flops:32.18, batch-reuse:1
@ 4 train 9.5221 , allloss: 117.7799, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:23.8029, dt: 1613.28ms, tok/sec: 81245.91, flops:32.24, batch-reuse:1
@ 5 train 9.3524 , allloss: 114.5039, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:21.3080, dt: 1611.13ms, tok/sec: 81354.21, flops:32.29, batch-reuse:1
@ 6 train 9.0214 , allloss: 109.8832, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:21.5645, dt: 1607.65ms, tok/sec: 81530.29, flops:32.36, batch-reuse:1
