Threshold: 0.1
Enable layer loss: False
MAX LEARNING RATE: 0.0006
Experiment name: 8-timesplus-alllayer
Experiment description:  Reusing blocks, max LR 6e-4, computing loss every layer, res * attn(x), x + mlp(LN(x))
total desired batch size: 131072
Mini-batch size: 8*1024
=> calculated gradient accumulation steps: 16
=> calculated gradient accumulation steps: 16
Training max steps: 300001Num GPUs: 1num decayed parameter tensors: 6, with 46,497,792 parameters
num non-decayed parameter tensors: 8, with 9,984 parameters
@ 0 train 10.8128 , allloss: 129.8691, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:6.0000e-05, norm:181.3645, dt: 5198.66ms, tok/sec: 25212.63, flops:10.01, batch-reuse:1
Final sample (0 word) 
			 ([2.300739288330078e-05], ',')
Final sample (1 word) 
			 ([2.300739288330078e-05], ',')
@ 1 train 10.7940 , allloss: 129.5890, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.2000e-04, norm:186.9807, dt: 1817.27ms, tok/sec: 72125.81, flops:28.63, batch-reuse:1
@ 2 train 10.7395 , allloss: 128.8533, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:1.8000e-04, norm:198.3863, dt: 1600.56ms, tok/sec: 81891.19, flops:32.50, batch-reuse:1
@ 3 train 10.0952 , allloss: 124.1876, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:2.4000e-04, norm:1686.9670, dt: 1603.90ms, tok/sec: 81720.99, flops:32.43, batch-reuse:1
@ 4 train 9.7825 , allloss: 118.2275, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.0000e-04, norm:355.7457, dt: 1608.56ms, tok/sec: 81484.06, flops:32.34, batch-reuse:1
@ 5 train 9.6127 , allloss: 116.1912, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:3.6000e-04, norm:164.7321, dt: 1610.38ms, tok/sec: 81391.74, flops:32.30, batch-reuse:1
@ 6 train 9.2387 , allloss: 111.8445, confloss: 0.0000, targetloss: 0.0000, earlystop: 0.000, earlystopdict: [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0], lr:4.2000e-04, norm:325.9564, dt: 1611.82ms, tok/sec: 81319.32, flops:32.27, batch-reuse:1
