0 train 10.94015503, lr:1.2000e-04, norm:29.8751, dt: 737.39ms, tok/sec: 44437.87, flops:33.77, batch-reuse:1
1 train 9.62221432, lr:2.4000e-04, norm:7.5972, dt: 219.51ms, tok/sec: 149276.59, flops:113.44, batch-reuse:1
2 train 9.08648968, lr:3.6000e-04, norm:2.5815, dt: 218.59ms, tok/sec: 149906.86, flops:113.92, batch-reuse:1
3 train 8.96827126, lr:4.8000e-04, norm:3.6221, dt: 218.66ms, tok/sec: 149855.70, flops:113.88, batch-reuse:1
4 train 9.24174118, lr:6.0000e-04, norm:15.5066, dt: 218.82ms, tok/sec: 149751.36, flops:113.80, batch-reuse:1
5 train 8.23187065, lr:7.2000e-04, norm:3.9537, dt: 218.83ms, tok/sec: 149744.83, flops:113.80, batch-reuse:1
6 train 7.92438602, lr:8.4000e-04, norm:3.9112, dt: 218.80ms, tok/sec: 149759.36, flops:113.81, batch-reuse:1
7 train 7.55486631, lr:9.6000e-04, norm:3.2118, dt: 219.03ms, tok/sec: 149607.75, flops:113.69, batch-reuse:1
8 train 7.09856129, lr:1.0800e-03, norm:2.1110, dt: 218.78ms, tok/sec: 149777.31, flops:113.82, batch-reuse:1
9 train 6.86297035, lr:1.2000e-03, norm:3.6864, dt: 421.86ms, tok/sec: 77674.62, flops:59.03, batch-reuse:1
10 train 6.56187868, lr:1.2000e-03, norm:2.2544, dt: 218.93ms, tok/sec: 149672.92, flops:113.74, batch-reuse:2
11 train 6.39043999, lr:1.2000e-03, norm:1.2892, dt: 218.73ms, tok/sec: 149808.00, flops:113.85, batch-reuse:2
12 train 6.37169456, lr:1.2000e-03, norm:1.7075, dt: 218.88ms, tok/sec: 149704.22, flops:113.77, batch-reuse:2
13 train 6.57685709, lr:1.2000e-03, norm:1.6996, dt: 219.11ms, tok/sec: 149553.70, flops:113.65, batch-reuse:2
14 train 6.47277641, lr:1.2000e-03, norm:1.3857, dt: 218.52ms, tok/sec: 149951.18, flops:113.96, batch-reuse:2
15 train 6.38218451, lr:1.1999e-03, norm:1.9055, dt: 218.85ms, tok/sec: 149729.99, flops:113.79, batch-reuse:2
16 train 6.36899567, lr:1.1999e-03, norm:1.5513, dt: 219.38ms, tok/sec: 149367.60, flops:113.51, batch-reuse:2
17 train 6.45557165, lr:1.1999e-03, norm:0.9503, dt: 219.50ms, tok/sec: 149284.69, flops:113.45, batch-reuse:2
18 train 6.27735233, lr:1.1998e-03, norm:1.3554, dt: 219.09ms, tok/sec: 149566.40, flops:113.66, batch-reuse:2
19 train 6.18220186, lr:1.1998e-03, norm:1.4410, dt: 411.58ms, tok/sec: 79616.00, flops:60.50, batch-reuse:2
20 train 6.20967484, lr:1.1997e-03, norm:1.3525, dt: 218.95ms, tok/sec: 149657.60, flops:113.73, batch-reuse:3
21 train 6.12288141, lr:1.1997e-03, norm:0.7090, dt: 219.29ms, tok/sec: 149429.31, flops:113.56, batch-reuse:3
22 train 6.16851521, lr:1.1996e-03, norm:0.9509, dt: 218.93ms, tok/sec: 149675.20, flops:113.75, batch-reuse:3
23 train 6.34566307, lr:1.1995e-03, norm:1.2968, dt: 219.17ms, tok/sec: 149509.45, flops:113.62, batch-reuse:3
24 train 6.15527534, lr:1.1995e-03, norm:0.9788, dt: 219.49ms, tok/sec: 149293.77, flops:113.46, batch-reuse:3
25 train 6.13461971, lr:1.1994e-03, norm:0.8161, dt: 219.56ms, tok/sec: 149244.98, flops:113.42, batch-reuse:3
26 train 6.10476971, lr:1.1993e-03, norm:0.8591, dt: 219.79ms, tok/sec: 149089.23, flops:113.30, batch-reuse:3
27 train 6.16083527, lr:1.1992e-03, norm:0.7881, dt: 219.38ms, tok/sec: 149363.87, flops:113.51, batch-reuse:3
28 train 6.06360483, lr:1.1991e-03, norm:0.7788, dt: 218.78ms, tok/sec: 149777.96, flops:113.82, batch-reuse:3
29 train 6.00506496, lr:1.1990e-03, norm:0.8591, dt: 407.37ms, tok/sec: 80437.91, flops:61.13, batch-reuse:3
30 train 6.08802414, lr:1.1989e-03, norm:0.9451, dt: 218.74ms, tok/sec: 149800.65, flops:113.84, batch-reuse:4
31 train 6.01252365, lr:1.1988e-03, norm:0.6730, dt: 218.86ms, tok/sec: 149722.65, flops:113.78, batch-reuse:4
32 train 6.00747490, lr:1.1987e-03, norm:0.8611, dt: 219.01ms, tok/sec: 149616.71, flops:113.70, batch-reuse:4
33 train 6.20194387, lr:1.1986e-03, norm:0.8170, dt: 219.50ms, tok/sec: 149283.88, flops:113.45, batch-reuse:4
34 train 6.01041269, lr:1.1984e-03, norm:1.0095, dt: 219.50ms, tok/sec: 149284.37, flops:113.45, batch-reuse:4
35 train 5.99503231, lr:1.1983e-03, norm:0.9322, dt: 219.57ms, tok/sec: 149240.44, flops:113.41, batch-reuse:4
36 train 5.99299145, lr:1.1982e-03, norm:0.9533, dt: 219.28ms, tok/sec: 149431.59, flops:113.56, batch-reuse:4
37 train 6.08654213, lr:1.1980e-03, norm:0.8834, dt: 219.93ms, tok/sec: 148990.48, flops:113.23, batch-reuse:4
38 train 5.97194576, lr:1.1979e-03, norm:0.8962, dt: 219.73ms, tok/sec: 149129.19, flops:113.33, batch-reuse:4
39 train 5.87472153, lr:1.1977e-03, norm:1.1478, dt: 407.95ms, tok/sec: 80322.93, flops:61.04, batch-reuse:4
40 train 5.95593786, lr:1.1976e-03, norm:1.0068, dt: 219.37ms, tok/sec: 149376.20, flops:113.52, batch-reuse:5
41 train 5.91447878, lr:1.1974e-03, norm:0.6560, dt: 220.46ms, tok/sec: 148631.82, flops:112.95, batch-reuse:5
42 train 5.92037773, lr:1.1972e-03, norm:0.7717, dt: 220.51ms, tok/sec: 148598.88, flops:112.93, batch-reuse:5
43 train 6.10240555, lr:1.1970e-03, norm:1.0449, dt: 219.56ms, tok/sec: 149240.93, flops:113.42, batch-reuse:5
44 train 5.91675138, lr:1.1969e-03, norm:0.8082, dt: 219.41ms, tok/sec: 149343.09, flops:113.49, batch-reuse:5
45 train 5.93046570, lr:1.1967e-03, norm:1.0175, dt: 220.14ms, tok/sec: 148853.16, flops:113.12, batch-reuse:5
46 train 5.91096592, lr:1.1965e-03, norm:0.5994, dt: 220.39ms, tok/sec: 148678.93, flops:112.99, batch-reuse:5
47 train 6.00388908, lr:1.1963e-03, norm:0.7620, dt: 220.48ms, tok/sec: 148621.86, flops:112.94, batch-reuse:5
48 train 5.88391209, lr:1.1961e-03, norm:0.6727, dt: 220.78ms, tok/sec: 148417.39, flops:112.79, batch-reuse:5
49 train 5.80352497, lr:1.1959e-03, norm:1.0180, dt: 411.70ms, tok/sec: 79592.63, flops:60.49, batch-reuse:5
50 val 5.8549
50 hellaswag 0.2485
